timestamp,level,message
2026-04-26 02:36:40,DEBUG,timings (s): fetch=0.003 indicators=0.160 signals=0.000 order_and_email=0.000 total=0.164
2026-04-26 02:36:40,ERROR,Unexpected error in polling loop: 
2026-04-26 02:36:41,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:36:41,DEBUG,timings (s): fetch=0.004 indicators=0.163 signals=0.000 order_and_email=0.000 total=0.168
2026-04-26 02:36:41,ERROR,Unexpected error in polling loop: 
2026-04-26 02:36:41,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:36:41,DEBUG,timings (s): fetch=0.003 indicators=0.153 signals=0.000 order_and_email=0.000 total=0.158
2026-04-26 02:36:41,ERROR,Unexpected error in polling loop: 
2026-04-26 02:36:41,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:36:41,DEBUG,timings (s): fetch=0.003 indicators=0.239 signals=0.000 order_and_email=0.000 total=0.243
2026-04-26 02:36:41,ERROR,Unexpected error in polling loop: 
2026-04-26 02:36:41,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:36:41,DEBUG,timings (s): fetch=0.004 indicators=0.205 signals=0.000 order_and_email=0.000 total=0.210
2026-04-26 02:36:41,INFO,Bot stopped by user.
2026-04-26 02:36:59,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:36:59,DEBUG,timings (s): fetch=0.004 indicators=0.170 signals=0.001 order_and_email=0.000 total=0.224
2026-04-26 02:36:59,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:15,ERROR,Startup aborted: MT5 connection failed.
2026-04-26 02:39:15,ERROR,Startup aborted: account info unavailable.
2026-04-26 02:39:16,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:16,DEBUG,timings (s): fetch=0.004 indicators=0.163 signals=0.001 order_and_email=0.000 total=0.176
2026-04-26 02:39:16,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:16,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:16,DEBUG,timings (s): fetch=0.004 indicators=0.170 signals=0.000 order_and_email=0.000 total=0.175
2026-04-26 02:39:16,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:16,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:16,DEBUG,timings (s): fetch=0.004 indicators=0.162 signals=0.000 order_and_email=0.000 total=0.167
2026-04-26 02:39:16,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:16,INFO,"auto-trade summary: {'success': False, 'error': 'symbol tick info unavailable for BTCUSDm'}"
2026-04-26 02:39:16,DEBUG,timings (s): fetch=0.003 indicators=0.155 signals=0.000 order_and_email=0.006 total=0.165
2026-04-26 02:39:16,ERROR,Unexpected error in polling loop: 
2026-04-26 02:39:16,DEBUG,session filter: outside NY trading hours (09:30–16:00 ET) — no orders or alerts placed.
2026-04-26 02:39:16,DEBUG,timings (s): fetch=0.003 indicators=0.155 signals=0.000 order_and_email=0.000 total=0.159
